make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Toyota,Corolla,2015,57.0,None,0,0,2014-12-07 23:23:11,Garfield,NJ,11.2212305069,16781.0833333,181,0.0,0.0,None
Kia,Sorento,2015,80.0,None,0,0,2015-06-07 17:35:03,Palisades Park,NJ,9.24540901184,23865.6,0,None,None,None
Hyundai,Sonata,2015,95.0,None,0,0,2015-05-25 02:05:05,Garfield,NJ,11.1767997742,20358.5384615,13,0.0,0.0,None
Mercedes-Benz,G-Class,2011,550.0,None,0,1,2015-04-19 12:38:26,Lincoln Park,NJ,17.8247909546,80130.5,49,0.0204081632653,11.2244897959,7138.89909091
Nissan,GT-R,2012,379.0,None,0,1,2015-05-21 20:19:12,Perth Amboy,NJ,16.9496765137,70661.5,16,0.0625,23.6875,2983.07124011
Honda,Accord,2015,66.0,None,0,0,2015-05-21 14:17:11,Fort Lee,NJ,10.5589408875,23358.6190476,17,0.0,0.0,None
Toyota,Camry,2004,34.0,None,0,0,2015-01-29 23:06:56,HACKENSACK,NJ,11.1092538834,6984.0,128,0.0,0.0,None
Lexus,GX 460,2015,168.0,None,0,0,2015-05-13 00:22:57,Perth Amboy,NJ,16.9337253571,48862.0,25,0.0,0.0,None
BMW,6 Series,2004,180.0,5,1,2,2015-04-16 22:52:14,Paterson,NJ,14.2046051025,15296.0,51,0.0392156862745,7.05882352941,2166.93333333
Jaguar,XF,2009,200.0,None,0,0,2015-05-20 17:35:08,Paterson,NJ,14.1070508957,22910.3333333,18,0.0,0.0,None
Volkswagen,New Beetle,2006,69.0,4.8,5,14,2013-05-17 07:49:25,Wayne,NJ,15.317650795,7708.9,751,0.0186418109188,1.2862849534,5993.1510352
BMW,3 Series,2007,50.0,5,1,2,2015-05-15 13:17:20,Woodbridge Township,NJ,16.3768081665,13674.9090909,23,0.0869565217391,4.34782608696,3145.22909091
Audi,Q5,2011,99.0,None,0,2,2015-05-15 13:26:44,Woodbridge Township,NJ,16.3920631409,26879.0,23,0.0869565217391,8.60869565217,3122.30808081
BMW,M4,2015,425.0,None,0,0,2015-05-23 19:06:06,Dumont,NJ,15.3372612,55835.0,14,0.0,0.0,None
BMW,6 Series,2012,249.0,None,0,0,2015-05-10 11:09:57,Livingston,NJ,12.5279970169,44848.0,28,0.0,0.0,None
BMW,5 Series,2015,180.0,None,0,0,2015-05-25 10:05:38,Prospect Park,NJ,15.1976385117,42785.0,13,0.0,0.0,None
Toyota,Corolla,2009,30.0,5,1,3,2013-02-24 13:47:58,Iselin,NJ,16.4642276764,10960.875,833,0.00360144057623,0.108043217287,101448.9875
Hyundai,Santa Fe,2005,42.0,5,4,6,2015-02-26 13:50:23,MOUNTAIN LAKES,NJ,21.8799381256,7932.0,101,0.0594059405941,2.49504950495,3179.0952381
