make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Mazda,MAZDA3,2012,25.0,5,4,4,2015-04-15 13:33:51,Hillside,NJ,7.6760134697,15421.1578947,42,0.0952380952381,2.38095238095,6476.88631579
Toyota,Camry,2015,67.0,None,0,0,2015-05-21 14:22:36,newark,NJ,6.60902309418,23115.6666667,6,0.0,0.0,None
Jaguar,XJ,2012,325.0,None,0,0,2015-05-08 10:56:50,Bloomfield,NJ,8.08328056335,53419.1666667,19,0.0,0.0,None
Honda,CR-V,1997,50.0,4.9286,14,19,2013-03-25 09:32:42,MAPLEWOOD,NJ,10.5694818497,3400.0,793,0.0239596469105,1.19798234552,2838.10526316
Chevrolet,Spark,2015,42.0,5,5,7,2014-12-19 17:28:11,Clark,NJ,13.3646097183,12242.5,159,0.0440251572327,1.84905660377,6620.94387755
MINI,Cooper Countryman,2015,55.0,None,0,0,2015-05-27 11:49:05,bayonne,NJ,6.43613386154,22970.75,0,None,None,None
Toyota,Camry,2010,50.0,4.6667,3,5,2015-03-16 16:31:08,woodland Park,NJ,12.6590614319,14470.1,72,0.0694444444444,3.47222222222,4167.3888
Honda,Accord,2014,80.0,None,0,0,2015-05-20 13:14:32,Fort Lee,NJ,9.29308128357,21454.6666667,7,0.0,0.0,None
BMW,X5,2014,115.0,None,0,0,2015-01-09 20:08:07,Ridgefield Park,NJ,9.70882511139,47796.25,138,0.0,0.0,None
Honda,Accord,2008,39.0,None,0,0,2015-05-27 13:09:48,Bloomfield,NJ,8.81922149658,13323.8,0,None,None,None
Honda,CR-V,2008,80.0,None,0,0,2014-07-14 01:17:18,Newark,NJ,8.95856571198,15609.0,317,0.0,0.0,None
Cadillac,Escalade ESV,2014,285.0,None,0,0,2015-05-09 09:32:21,Colonia,NJ,16.0272598267,55399.0,18,0.0,0.0,None
Toyota,Corolla,2014,79.0,None,0,0,2015-05-16 16:22:08,East Rutherford ,NJ,8.55114650726,15304.1666667,11,0.0,0.0,None
Toyota,Corolla,2015,300.0,None,0,0,2015-03-26 14:04:18,Teterboro,NJ,9.23540592194,16728.0,62,0.0,0.0,None
Dodge,Journey,2010,59.0,None,0,0,2015-05-22 13:55:42,Wayne,NJ,15.6438550949,14677.2857143,5,0.0,0.0,None
Volvo,S40,2006,60.0,None,0,0,2015-05-17 21:04:07,Linden,NJ,9.44368171692,8444.66666667,10,0.0,0.0,None
Lexus,GS 350,2014,125.0,5,1,1,2015-02-12 14:54:44,Millburn,NJ,12.0584945679,35876.0,104,0.00961538461538,1.20192307692,29848.832
Volkswagen,Jetta,2012,65.0,None,0,1,2015-01-01 17:09:57,Union,NJ,10.1677436829,14833.2,146,0.00684931506849,0.445205479452,33317.6492308
Mercury,Grand Marquis,2003,88.0,None,0,0,2015-05-03 17:49:45,South Orange,NJ,10.0808877945,5785.0,24,0.0,0.0,None
Mercedes-Benz,G-Class,2011,550.0,None,0,1,2015-04-19 12:38:26,Lincoln Park,NJ,17.8247909546,80274.0,38,0.0263157894737,14.4736842105,5546.20363636
Toyota,Highlander,2010,56.0,None,0,0,2015-05-25 16:22:31,Elizabeth,NJ,9.62254905701,21878.4444444,2,0.0,0.0,None
BMW,M4,2015,475.0,None,0,0,2015-05-23 19:37:45,LODI,NJ,9.73317623138,61379.5,4,0.0,0.0,None
Lexus,RC 350,2015,225.0,None,0,0,2015-05-23 19:44:11,LODI,NJ,9.73334980011,None,4,0.0,0.0,None
Cadillac,Escalade,2015,450.0,None,0,0,2015-05-23 19:55:07,LODI,NJ,9.73765850067,73512.6428571,4,0.0,0.0,None
